zip,city,air,haz_cleanups,lead_paint,water
92571,Perris,11,6,32%,11.5%
96140,Unincorporated Placer County area,6,0,40%,11.8%
95638,Unincorporated Sacramento County area,9,0,17%,11.8%
95536,Unincorporated Humboldt County area,5,2,55%,11.8%
95673,Rio Linda,9,7,56%,11.9%
92596,French Valley,9,3,15%,12.0%
96145,Unincorporated Placer County area,6,0,28%,12.1%
94518,Concord,9,6,46%,12.4%
94519,Concord,9,19,62%,12.4%
94517,Clayton,8,6,19%,12.4%
92345,Hesperia,9,0,39%,12.5%
95492,Windsor,7,7,20%,12.6%
92677,Laguna Niguel,9,0,19%,12.6%
94510,Benicia,9,13,30%,12.6%
90275,Rancho Palos Verdes,11,9,36%,12.9%
95932,Unincorporated Colusa County area,8,15,65%,13.6%
92553,Moreno Valley,12,3,46%,13.7%
92691,Mission Viejo,9,1,28%,13.8%
95603,Auburn,7,12,39%,13.9%
94597,Walnut Creek,9,15,34%,13.9%
92627,Costa Mesa,11,17,55%,14.4%
94503,American Canyon,9,2,30%,14.5%
90740,Seal Beach,12,18,39%,14.8%
92583,San Jacinto,9,5,41%,14.8%
90274,Rolling Hills Estates and Palos Verdes Estates,11,6,40%,14.9%
94521,Concord,9,8,41%,15.0%
94102,San Francisco,9,17,51%,15.0%
94110,San Francisco,9,3,65%,15.0%
94112,San Francisco,9,2,73%,15.0%
94122,San Francisco,9,7,63%,15.0%
94134,San Francisco,9,13,67%,15.0%
94109,San Francisco,9,3,56%,15.0%
94114,San Francisco,9,0,52%,15.0%
94115,San Francisco,9,1,47%,15.0%
94116,San Francisco,9,0,68%,15.0%
94117,San Francisco,9,0,59%,15.0%
94118,San Francisco,9,1,59%,15.0%
94124,San Francisco,9,16,60%,15.0%
94131,San Francisco,9,3,46%,15.0%
94103,San Francisco,9,38,47%,15.0%
94107,San Francisco,9,24,33%,15.0%
94108,San Francisco,9,6,56%,15.0%
94133,San Francisco,9,4,57%,15.0%
94105,San Francisco,9,37,6%,15.0%
94111,San Francisco,9,3,49%,15.0%
94127,San Francisco,9,1,61%,15.0%
94158,San Francisco,9,57,7%,15.0%
93458,Santa Maria,8,5,68%,15.1%
95969,Paradise,7,4,43%,15.2%
92555,Moreno Valley,11,2,24%,15.2%
94520,Concord,9,15,57%,15.6%
92694,Ladera Ranch,10,0,11%,15.6%
92653,Laguna Hills,9,1,16%,15.7%
95503,Bayview and Eureka,6,3,47%,15.9%
95035,Milpitas,8,21,31%,16.1%
94523,Pleasant Hill,9,1,41%,16.3%
94044,Pacifica,8,2,48%,16.5%
92028,Fallbrook,8,8,38%,16.7%
94121,San Francisco,9,6,58%,16.7%
94598,Walnut Creek,9,2,28%,16.8%
95814,Sacramento,9,48,40%,16.9%
95818,Sacramento,9,22,64%,16.9%
95819,Sacramento,9,5,62%,16.9%
95831,Sacramento,9,2,27%,16.9%
95811,Sacramento,9,218,72%,16.9%
95816,Sacramento,9,8,54%,16.9%
95817,Sacramento,9,8,69%,16.9%
95832,Sacramento,9,0,49%,16.9%
95838,Sacramento,9,12,57%,16.9%
91914,Chula Vista,11,0,21%,17.1%
91915,Chula Vista,11,7,23%,17.1%
94930,Fairfax,8,17,47%,17.1%
93101,Santa Barbara,8,11,59%,17.3%
93103,Santa Barbara,8,19,58%,17.3%
94531,Antioch,9,1,24%,17.3%
94123,San Francisco,9,27,61%,17.4%
96032,Unincorporated Siskiyou County area,3,4,47%,17.5%
95762,El Dorado Hills,8,4,11%,17.5%
92007,Encinitas,9,0,25%,17.6%
95568,Unincorporated Siskiyou County area,3,15,59%,17.7%
93454,Santa Maria,8,4,53%,17.8%
95401,Santa Rosa,7,2,41%,18.3%
92692,Mission Viejo,10,2,15%,18.3%
95934,Unincorporated Plumas County area,7,8,52%,18.3%
95709,Unincorporated El Dorado County area,7,0,35%,18.5%
95979,Unincorporated Colusa County area,6,0,49%,18.6%
91913,Chula Vista,11,0,21%,18.6%
94132,San Francisco,9,2,61%,18.6%
95926,Chico,9,20,48%,18.8%
92563,Murrieta,9,2,17%,19.1%
92201,Indio,8,1,39%,19.2%
95192,San Jose,9,1,42%,19.3%
95726,Pollock Pines,7,2,29%,19.4%
92003,Bonsall,8,0,18%,19.5%
92071,Santee,9,2,30%,19.6%
90254,Hermosa Beach,12,1,41%,19.7%
95691,West Sacramento,9,8,44%,19.9%
95030,Los Gatos and Monte Sereno,7,1,34%,20.1%
94552,Castro Valley,8,2,17%,20.2%
93550,Palmdale,8,0,51%,20.4%
96104,Unincorporated Modoc County area,4,0,58%,20.5%
96056,Unincorporated Lassen and Modoc County area,5,2,49%,20.5%
95835,Sacramento,9,0,12%,20.7%
96052,Unincorporated Trinity County area,4,2,35%,20.8%
90278,Redondo Beach,12,3,37%,21.1%
90277,Redondo Beach,12,4,39%,21.1%
95112,San Jose,9,14,61%,21.3%
95062,Santa Cruz and Live Oak,6,9,47%,21.4%
95822,Sacramento,9,3,69%,21.5%
95667,Placerville and Unincorporated El Dorado County area,8,1,33%,21.6%
92708,Fountain Valley,12,10,36%,21.7%
93286,Woodlake,12,0,61%,21.9%
94533,Fairfield,8,3,48%,21.9%
92557,Moreno Valley,12,5,32%,21.9%
92236,Coachella,7,4,40%,22.1%
95131,San Jose,9,50,30%,22.2%
95409,Santa Rosa,7,0,27%,22.3%
95833,Sacramento,9,3,38%,22.4%
94954,Petaluma,8,3,23%,22.4%
95376,Tracy,9,6,43%,22.4%
95672,El Dorado Hills,8,5,8%,22.6%
95110,San Jose,9,23,52%,22.7%
95117,San Jose,8,3,46%,22.7%
95126,San Jose,9,14,52%,22.7%
95130,San Jose,8,0,54%,22.7%
95133,San Jose,9,12,42%,22.7%
95008,Campbell,8,4,40%,22.7%
95118,San Jose,8,0,36%,22.7%
95124,San Jose,8,7,47%,22.7%
95129,San Jose,8,6,39%,22.7%
95116,San Jose,9,1,65%,22.7%
95125,San Jose,9,9,51%,22.7%
96150,South Lake Tahoe,4,0,43%,22.8%
95525,Unincorporated Humboldt County area,6,21,51%,22.8%
95687,Vacaville,8,0,22%,23.0%
96007,Anderson and Happy Valley,11,0,38%,23.1%
95663,Unincorporated Placer County area,7,27,32%,23.1%
95064,Santa Cruz,6,0,30%,23.1%
92118,Coronado,11,11,32%,23.3%
92065,Ramona,7,3,28%,23.3%
95070,Saratoga,8,0,37%,23.4%
96108,Unincorporated Modoc County area,4,1,48%,23.5%
90265,Unincorporated Los Angeles County area,10,6,27%,24.0%
92024,Encinitas,9,0,24%,24.0%
94590,Vallejo,9,3,71%,24.0%
95468,Unincorporated Mendocino County area,6,11,30%,24.1%
93108,Unincorporated Santa Barbara County area,8,1,38%,24.1%
