zip,city,air,haz_cleanups,lead_paint,water
95037,Morgan Hill,7,4,34%,46.1%
92618,Irvine,11,9,21%,46.2%
92026,Escondido,8,2,30%,46.2%
92707,Santa Ana,12,25,77%,46.3%
95377,Tracy,9,8,14%,46.4%
90710,Los Angeles,12,6,47%,46.5%
92704,Santa Ana,12,11,63%,46.6%
93955,Seaside,6,11,69%,46.6%
95139,San Jose,8,12,24%,46.6%
92260,Palm Deser,7,1,24%,46.7%
95138,San Jose,8,13,20%,46.7%
92570,Perris and Mead Valley,11,14,47%,46.8%
95119,San Jose,8,24,43%,46.8%
92703,Santa Ana,12,11,83%,47.0%
95961,Olivehurst,9,4,52%,47.1%
92203,Bermuda Dunes and Indio,7,0,16%,47.1%
92253,La Quinta,7,1,18%,47.2%
90717,Lomita,12,3,57%,47.2%
92630,Lake Forest,9,2,30%,47.2%
92606,Irvine,12,1,26%,47.3%
92620,Irvine,11,4,20%,47.3%
92602,Irvine,12,1,22%,47.3%
92603,Irvine,11,2,19%,47.3%
92610,Lake Forest,11,0,15%,47.3%
92614,Irvine,11,0,20%,47.3%
92617,Irvine,11,4,19%,47.3%
92604,Irvine,11,0,27%,47.3%
92612,Irvine,11,0,23%,47.3%
94014,Daly City,8,9,59%,47.3%
94062,Redwood City,8,2,49%,47.4%
90706,Bellflower,12,0,66%,47.5%
92701,Santa Ana,12,33,77%,47.5%
95472,Unincorporated Sonoma County area,7,2,43%,47.6%
93612,Clovis,14,5,43%,47.6%
92544,East Hemet,9,0,50%,47.7%
94019,El Granada,8,0,34%,47.8%
91941,La Mesa and Casa de Oro-Mount Helix,10,2,54%,47.9%
92082,Unincorporated San Diego County area,7,0,28%,47.9%
95076,Watsonville,6,6,58%,48.1%
90405,Santa Monica,12,17,49%,48.1%
92250,Holtville,9,1,38%,48.1%
90704,Avalon,7,50,46%,48.2%
90401,Santa Monica,12,24,19%,48.2%
90403,Santa Monica,12,0,43%,48.2%
90404,Santa Monica,12,12,45%,48.2%
94038,Montara,8,6,30%,48.2%
93110,Eastern Goleta Valley,8,0,37%,48.2%
94040,Mountain View,8,19,47%,48.3%
92706,Santa Ana,12,6,77%,48.3%
94010,Burlingame,8,3,53%,48.3%
40,Unincorporated Tuolumne County area,6,0,18%,48.4%
91361,Thousand Oaks,9,1,24%,48.4%
92274,Unincorporated Imperial County area,8,9,36%,48.4%
95257,Unincorporated Calaveras County area,7,0,32%,48.5%
95634,Unincorporated El Dorado County area,7,0,20%,48.5%
95666,Unincorporated Amador County area,7,0,20%,48.7%
94061,Redwood City,8,7,61%,48.7%
95204,Country Club and Stockton,11,4,72%,48.7%
95066,Unincorporated Santa Cruz County area,6,39,27%,48.7%
91302,Calabasas,11,0,20%,48.9%
91362,Thousand Oaks,9,2,22%,49.1%
95050,Santa Clara,8,38,50%,49.1%
95988,Willows,9,8,59%,49.1%
93245,Lemoore,13,5,43%,49.2%
96080,"Red Bluff,",6,8,46%,49.2%
95757,Elk Grove,9,2,14%,49.4%
92624,Dana Point,10,12,34%,49.4%
90212,Beverly Hills,12,6,56%,49.4%
94041,Mountain View,8,19,38%,49.5%
93013,Carpinteria,9,0,44%,49.5%
93923,Carmel-by-the-Sea,5,8,34%,49.8%
95490,Unincorporated Mendocino County area,7,4,47%,49.9%
95051,Santa Clara,8,9,49%,50.1%
95054,Santa Clara,8,111,26%,50.2%
96051,Unincorporated Shasta County area,5,0,27%,50.2%
90247,Gardena,12,15,62%,50.2%
92782,Tustin,12,20,21%,50.2%
95618,Davis,9,15,25%,50.3%
95843,Antelope,9,0,29%,50.4%
92239,Unincorporated Riverside County area,9,8,25%,50.5%
95917,Unincorporated Butte County area,8,0,54%,50.6%
95658,Unincorporated Placer County area,7,25,35%,50.6%
96101,Daphnedale Park,5,0,59%,50.7%
95616,Davis,9,2,29%,50.7%
93906,Salinas,6,3,49%,50.9%
95824,Sacramento,9,3,74%,51.1%
95423,Unincorporated Lake County area,3,12,46%,51.2%
95626,Elverta,8,3,46%,51.2%
90303,Inglewood,12,2,82%,51.3%
95823,Sacramento,9,2,50%,51.4%
92227,Brawley,9,12,48%,51.5%
92320,Calimesa,10,0,16%,51.5%
90402,Santa Monica,12,0,50%,51.6%
90222,Compton,12,24,89%,51.6%
90716,Hawaiian Gardens,12,1,76%,51.6%
95703,Unincorporated Placer County area,7,0,23%,51.6%
95006,Boulder Creek,6,0,45%,51.6%
90066,Los Angeles,12,3,55%,51.8%
90715,Lakewood,12,1,55%,51.8%
90660,Pico Rivera,12,9,73%,51.9%
92705,Santa Ana,12,11,43%,52.0%
92276,Thousand Palms,7,0,31%,52.0%
94558,Napa,9,4,40%,52.0%
94559,Napa,10,9,61%,52.1%
93933,Marina,6,16,41%,52.3%
95829,Vineyard,9,5,26%,52.3%
93901,Salinas,6,4,64%,52.5%
93535,Lancaster,7,5,54%,52.6%
90067,Los Angeles,12,5,11%,52.7%
90094,Los Angeles,12,13,1%,52.7%
90293,Los Angeles,12,16,34%,52.7%
90024,Los Angeles,12,6,35%,52.7%
95916,Berry Creek,6,18,33%,52.8%
95370,Sonora and Phoenix Lake,8,15,39%,52.8%
95236,Peters,10,10,38%,52.9%
95451,Clearlake Riviera,3,11,28%,52.9%
95826,Rosemont,9,4,40%,53.0%
92675,San Juan Capistrano,10,6,20%,53.2%
92231,Calexico,12,4,45%,53.2%
95237,Lockeford,10,9,37%,53.2%
94505,Discovery Bay,9,0,35%,53.3%
90302,Inglewood,12,1,74%,53.4%
95623,Unincorporated El Dorado County area,8,0,17%,53.5%
95222,Unincorporated Calaveras County area,9,7,42%,53.5%
94551,Livermore,8,4,33%,53.5%
95427,Unincorporated Mendocino County area,6,0,29%,53.6%
92595,Wildomar,10,0,19%,53.6%
90638,La Mirada,12,5,58%,53.7%
94028,Portola Valley,8,0,40%,53.7%
95684,Unincorporated El Dorado County area,7,0,30%,53.7%
95306,Unincorporated Mariposa County area,10,1,26%,53.7%
90064,Los Angeles,12,1,52%,53.7%
90701,Artesia,12,1,65%,53.7%
92363,Unincorporated San Bernardino County area,9,8,63%,53.9%
91741,Glendora,12,4,48%,53.9%
95338,Unincorporated Mariposa County area,8,4,28%,54.1%
94043,Mountain View,8,56,33%,54.1%
95421,Timber Cove,6,12,33%,54.1%
95033,Unincorporated Santa Clara County area,7,0,40%,54.2%
93543,Palmdale,8,1,49%,54.3%
92411,San Bernardino,11,13,86%,54.3%
93204,Avenal,10,0,75%,54.3%
90221,Compton,12,4,91%,54.4%
94513,Brentwood,9,8,21%,54.5%
96047,Unincorporated Shasta County area,7,12,23%,54.6%
95701,Unincorporated Placer County area,7,1,40%,54.6%
92867,Orange,12,15,47%,54.7%
92284,Yucca Valley,5,0,38%,54.7%
92313,Grand Terrace,12,10,33%,54.7%
90025,Los Angeles,12,14,38%,54.7%
95441,Unincorporated Sonoma County area,6,1,47%,54.8%
93534,Lancaster,7,2,61%,54.8%
92865,Orange,12,5,42%,55.1%
92870,Placentia,12,13,36%,55.1%
90291,Los Angeles,12,3,55%,55.2%
90220,Compton,12,12,81%,55.3%
93449,Pismo Beach,8,0,32%,55.4%
90712,Lakewood,12,3,69%,55.5%
95005,Ben Lomond,6,1,55%,55.5%
95206,Stockton,11,10,58%,55.5%
92281,Unincorporated Imperial County area,9,0,60%,55.6%
95023,Hollister,5,10,36%,55.6%
92029,Unincorporated San Diego County area,8,11,20%,55.7%
90713,Lakewood,12,0,68%,55.7%
95825,Arden-Arcade,9,2,48%,55.8%
92056,Oceanside,9,3,27%,55.9%
95640,"Unincorporated Amador County area,Unincorporated Amador County area",9,55,34%,55.9%
95938,Durham,8,25,33%,55.9%
94550,Livermore,8,8,26%,56.0%
93033,Oxnard,9,3,69%,56.1%
91320,Thousand Oaks,9,3,21%,56.2%
93514,Unincorporated Inyo County area,4,4,28%,56.2%
92054,Oceanside,10,9,46%,56.3%
90040,Commerce,12,58,66%,56.3%
92407,Muscoy and San Bernardino,11,15,52%,56.4%
93021,Moorpark,9,0,26%,56.4%
90301,Inglewood,12,5,77%,56.5%
96113,Unincorporated Lassen County area,5,23,43%,56.6%
94304,Palo Alto,8,91,33%,56.6%
90621,Buena Park,12,15,59%,56.6%
93212,Corcoran,13,4,61%,56.7%
91722,Covina,12,3,67%,56.8%
93555,Ridgecrest,8,4,47%,56.8%
90045,Los Angeles,12,11,54%,56.8%
92806,Anaheim,12,39,50%,57.0%
95205,Stockton,12,7,80%,57.1%
92805,Anaheim,12,27,76%,57.1%
92862,Unincorporated Orange County area,12,1,17%,57.2%
90272,Los Angeles,11,8,41%,57.2%
92808,Anaheim,12,0,14%,57.4%
91748,Rowland Heights,12,4,38%,57.5%
95694,Unincorporated Yolo County area,8,16,41%,57.6%
92277,Twentynine Palms,7,16,55%,57.8%
90305,Inglewood,12,0,63%,57.8%
90620,Buena Park,12,9,67%,57.9%
93010,Camarillo,9,3,32%,57.9%
92868,Orange,12,26,56%,57.9%
92807,Anaheim,12,9,24%,58.0%
93640,Unincorporated Fresno County area,10,7,59%,58.0%
91377,Oak Park,9,1,10%,58.0%
92843,Garden Grove,12,4,67%,58.0%
92543,Hemet,9,2,52%,58.1%
93551,Palmdale,7,1,31%,58.1%
90240,Downey,12,10,65%,58.1%
92252,Joshua Tree,5,0,46%,58.2%
93927,Greenfield,5,5,51%,58.3%
92058,Oceanside,10,6,41%,58.3%
92057,Oceanside,9,4,28%,58.4%
95436,Unincorporated Sonoma County area,6,0,42%,58.4%
92040,Lakeside and Winter Gardens,9,3,41%,58.4%
95442,Unincorporated Sonoma County area,7,0,42%,58.5%
93611,Clovis,13,1,16%,58.8%
91765,Diamond Bar,12,0,20%,58.8%
92869,Orange,12,7,35%,58.9%
51,Unincorporated El Dorado County area,5,0,33%,59.0%
91016,Monrovia,12,18,55%,59.0%
92866,Orange,12,9,60%,59.1%
93446,Paso Robles,7,10,40%,59.4%
93536,Lancaster and Quartz Hill,7,2,34%,59.6%
92802,Anaheim,12,9,67%,59.6%
92844,Garden Grove,12,0,61%,59.7%
90270,Maywood,12,15,92%,59.7%
92804,Anaheim,12,10,68%,59.7%
93620,Unincorporated Merced County area,11,7,67%,60.0%
93063,Simi Valley,9,2,27%,60.0%
92055,Unincorporated San Diego County area,9,28,47%,60.1%
95320,"Unincorporated San Joaquin County area,Escalon",11,10,39%,60.1%
95346,Unincorporated Tuolumne County area,7,2,27%,60.3%
93445,Oceano,8,0,41%,60.4%
94970,Unincorporated Marin County area,8,0,54%,60.5%
95017,Unincorporated Santa Cruz County area,6,0,32%,60.6%
93042,Unincorporated Ventura County area,9,15,64%,60.7%
92256,Morongo Valley,6,0,31%,60.7%
93066,Unincorporated Ventura County area,9,4,49%,60.7%
95374,Unincorporated Merced County area,11,0,68%,60.8%
91360,Thousand Oaks,9,0,29%,60.9%
94574,St. Helena,8,16,43%,61.0%
92278,Unincorporated San Bernardino County area,6,0,43%,61.1%
95652,McClellan Park,9,19,83%,61.1%
93510,Acton,9,8,15%,61.1%
95570,Unincorporated Humboldt County area,5,2,53%,61.1%
93065,Simi Valley,9,0,27%,61.4%
95692,Unincorporated Yuba County area,8,0,25%,61.4%
92086,Unincorporated San Diego County area,6,0,44%,61.4%
92801,Anaheim,12,28,74%,61.5%
92254,Unincorporated Riverside County area,7,13,48%,61.6%
93234,Unincorporated Fresno County area,10,5,53%,61.7%
93453,Unincorporated San Luis Obispo County area,6,0,43%,61.7%
95660,North Highlands,9,10,67%,61.7%
95993,Yuba City,9,3,32%,61.9%
92840,Garden Grove,12,2,77%,61.9%
90262,Lynwood,12,24,90%,62.0%
92220,Banning,9,7,59%,62.1%
93001,San Buenaventura (Ventura),9,7,58%,62.1%
93268,Taft,13,2,77%,62.1%
90670,Santa Fe Springs,12,60,59%,62.2%
95665,Pine Grove,8,10,19%,62.2%
93230,Hanford,15,5,47%,62.2%
92004,Unincorporated San Diego County area,7,20,30%,62.3%
92036,Unincorporated San Diego County area,6,0,39%,62.3%
93517,Unincorporated Mono County area,3,0,47%,62.3%
93252,Unincorporated Kern County area,10,10,68%,62.3%
95620,Dixon,8,11,39%,62.4%
92676,Silverado,11,1,50%,62.6%
91916,Unincorporated San Diego County area,6,13,48%,62.6%
90241,Downey,12,3,74%,62.6%
92845,Garden Grove,12,7,40%,62.6%
92841,Garden Grove,12,5,65%,62.6%
94571,Unincorporated Solano County area,8,10,24%,62.7%
95827,Rosemont,9,10,39%,62.8%
90049,Los Angeles,12,6,43%,62.8%
92283,Unincorporated Imperial County area,9,12,28%,62.9%
90065,Los Angeles,12,28,71%,62.9%
90602,Whittier,12,27,78%,63.0%
94005,Brisbane,9,35,57%,63.0%
95942,Unincorporated Butte County area,7,16,10%,63.0%
92352,Lake Arrowhead,9,2,28%,63.0%
95939,Unincorporated Glenn County area,5,0,52%,63.4%
92311,Barstow,8,6,64%,63.5%
91340,Los Angeles,11,12,80%,63.6%
90034,Los Angeles,12,3,49%,63.6%
94535,Fairfield,8,12,50%,63.6%
95457,Unincorporated Lake County area,4,10,28%,63.7%
94951,Unincorporated Sonoma County area,7,0,19%,63.8%
90290,Topanga,11,4,46%,64.0%
92251,Unincorporated Imperial County area,9,39,30%,64.1%
95348,Merced,12,3,43%,64.3%
91024,Sierra Madre,12,0,54%,64.5%
92332,Unincorporated San Bernardino County area,8,15,40%,64.5%
95246,Unincorporated Calaveras County area,9,7,51%,64.6%
95901,Marysville and Linda,8,6,51%,64.6%
95422,Clearlake,3,12,49%,64.6%
93647,Orosi,12,12,59%,64.7%
95821,Arden-Arcade,9,3,63%,64.7%
95322,Unincorporated Merced County area,10,9,56%,64.7%
95311,Unincorporated Mariposa County area,8,0,18%,64.8%
95957,Unincorporated Sutter County area,8,12,65%,65.1%
95327,Unincorporated Tuolumne County area,9,7,22%,65.1%
95361,Oakdale,11,9,43%,65.2%
95991,Yuba City,9,6,51%,65.2%
93215,Delano,13,16,62%,65.2%
96065,Unincorporated Shasta County area,5,0,22%,65.3%
90042,Los Angeles,12,4,69%,65.3%
90201,Bell Gardens,12,22,86%,65.5%
93004,San Buenaventura (Ventura),9,0,28%,65.5%
93003,San Buenaventura (Ventura),9,1,40%,65.5%
90650,Norwalk,12,6,74%,65.6%
95685,Unincorporated Amador County area,8,110,38%,65.8%
95333,Unincorporated Merced County area,11,4,60%,65.9%
90720,Rossmoor and Los Alamitos,12,22,42%,65.9%
93638,Madera,13,4,52%,66.0%
95742,Rancho Cordova,8,34,18%,66.2%
96124,Unincorporated Sierra County area,6,0,22%,66.2%
92324,Colton,12,17,55%,66.2%
91789,Industry and Walnut,12,3,20%,66.2%
92410,San Bernardino,11,14,73%,66.4%
90292,Los Angeles,12,18,23%,66.4%
90680,Stanton,12,6,68%,66.5%
93465,Unincorporated Santa Barbara County area,6,0,25%,66.6%
92408,San Bernardino,11,24,75%,66.7%
92285,Unincorporated San Bernardino County area,5,16,39%,66.7%
93210,"Coalinga,",9,24,46%,66.9%
95912,College City,8,7,51%,67.0%
95340,Merced,12,2,60%,67.1%
95864,Arden-Arcade,9,1,53%,67.1%
95841,North Highlands,9,2,55%,67.2%
92562,Murrieta,9,0,19%,67.2%
92328,Unincorporated Inyo County area,4,42,54%,67.2%
93309,Bakersfield,16,1,39%,67.3%
90041,Los Angeles,12,4,65%,67.5%
91384,Castaic,9,0,23%,67.5%
91773,San Dimas,12,0,32%,67.7%
96122,Unincorporated Plumas County area,7,0,42%,67.7%
93501,Mojave,6,4,72%,67.8%
91354,Santa Clarita,10,1,14%,67.9%
92335,Fontana,13,8,61%,67.9%
90604,South Whittier,12,5,65%,68.0%
93277,Visalia,15,24,41%,68.1%
93610,Chowchilla,12,4,53%,68.2%
92374,Redlands,11,5,41%,68.3%
93311,Bakersfield,15,2,11%,68.3%
94599,Yountville,8,0,16%,68.3%
93461,Unincorporated San Luis Obispo County area,7,0,21%,68.4%
93441,Unincorporated Santa Barbara County area,6,0,25%,68.4%
93656,Unincorporated Fresno County area,12,10,61%,68.4%
93516,Boron,7,12,68%,68.4%
95629,Unincorporated Amador County area,8,34,30%,68.4%
90630,Cypress,12,4,35%,68.4%
95669,Unincorporated Amador County area,8,9,20%,68.5%
95953,Live Oak,9,5,44%,68.7%
95046,San Martin,7,2,48%,68.7%
93420,Arroyo Grande,8,0,27%,68.7%
92532,Lake Elsinore,10,1,22%,68.8%
91740,Glendora,12,0,60%,68.9%
93662,Unincorporated Fresno County area,14,7,59%,69.0%
93036,Oxnard,9,2,52%,69.0%
93618,Dinuba,13,8,58%,69.0%
93524,Unincorporated Kern County area,7,16,40%,69.1%
95324,Unincorporated Merced County area,12,1,31%,69.1%
93619,Clovis,13,2,12%,69.2%
95659,Unincorporated Sutter County area,8,4,49%,69.3%
91387,Santa Clarita,10,2,26%,69.3%
93960,Soledad,5,2,46%,69.4%
91321,Santa Clarita,10,4,40%,69.5%
93908,Unincorporated Monterey County area,5,21,32%,69.5%
93437,Vandenberg AFB,7,27,42%,69.5%
95018,Unincorporated Santa Cruz County area,6,5,43%,69.7%
93426,Unincorporated Monterey County area,5,4,44%,69.7%
95045,Unincorporated San Benito County area,5,1,55%,69.9%
95219,Stockton,11,1,22%,70.0%
91381,Stevenson Ranch,10,0,9%,70.1%
90032,Los Angeles,12,7,77%,70.2%
93301,Bakersfield,16,4,60%,70.3%
93304,Bakersfield,16,10,70%,70.3%
93305,Bakersfield,16,1,87%,70.3%
92305,Unincorporated San Bernardino County area,6,0,60%,70.5%
95925,Unincorporated Yuba County area,6,8,34%,70.5%
91390,Santa Clarita,9,3,20%,70.5%
93616,Unincorporated Fresno County area,13,12,67%,70.6%
93505,California City,7,18,44%,70.6%
93544,Unincorporated Los Angeles County area,9,1,54%,70.6%
95335,Unincorporated Tuolumne County area,6,5,39%,70.6%
95210,Stockton,11,0,42%,70.6%
92518,March ARB,11,21,51%,70.7%
95207,Stockton,11,1,52%,70.7%
92225,Blythe,10,8,55%,70.7%
91008,Bradbury,12,1,43%,70.8%
93907,Salinas and Prunedale,5,6,35%,71.0%
95842,Foothill Farms,9,1,40%,71.0%
95240,Lodi,10,3,53%,71.0%
90603,Whittier,12,14,62%,71.1%
91350,Santa Clarita,10,9,23%,71.1%
93012,Camarillo,9,7,15%,71.1%
91780,Temple City,12,12,66%,71.1%
91101,Pasadena,11,6,41%,71.1%
91355,Santa Clarita,10,5,17%,71.2%
96117,Unincorporated Lassen County area,5,9,33%,71.2%
95367,Riverbank,11,7,49%,71.2%
93532,Unincorporated Los Angeles County area,6,0,36%,71.3%
95655,Mather,8,37,15%,71.3%
91351,Santa Clarita,10,0,35%,71.5%
93924,Unincorporated Monterey County area,5,0,51%,71.5%
92883,Temescal Valley,11,1,6%,71.5%
93622,Unincorporated Fresno County area,10,5,66%,71.7%
96120,Unincorporated Alpine County area,3,0,37%,71.7%
93239,Unincorporated Kings County area,11,2,69%,71.8%
95641,Unincorporated Sacramento County area,8,0,47%,71.9%
92356,Lucerne Valley,6,31,43%,72.0%
91104,Pasadena,11,1,74%,72.0%
95465,Unincorporated Sonoma County area,6,0,29%,72.0%
93654,Reedley,13,6,58%,72.0%
32,Unincorporated Santa Barbara County area,6,0,77%,72.1%
91006,Arcadia,12,10,58%,72.1%
93405,Unincorporated San Luis Obispo County area,8,10,32%,72.2%
92336,Fontana,12,1,28%,72.2%
91723,Covina,12,4,71%,72.4%
93615,Unincorporated Tulare County area,12,0,69%,72.5%
90605,South Whittier,12,8,76%,72.6%
92382,Unincorporated San Bernardino County area,10,0,42%,72.6%
93401,San Luis Obispo,8,18,41%,72.7%
91103,Pasadena,11,1,63%,73.0%
95341,Merced,12,4,61%,73.1%
93291,Visalia,15,37,47%,73.1%
95828,Florin,9,3,40%,73.1%
91776,San Gabriel,12,12,63%,73.2%
95642,Unincorporated Amador County area,9,36,37%,73.2%
93560,Rosamond,7,30,29%,73.2%
92590,Temecula,9,4,21%,73.2%
90211,Beverly Hills,12,2,43%,73.3%
93035,Oxnard,9,5,35%,73.4%
92373,Redlands,11,5,41%,73.6%
92881,Corona,12,1,24%,73.7%
90280,South Gate,12,31,88%,74.0%
95388,"Winton,Unincorporated Merced County area",12,17,65%,74.0%
93041,Port Hueneme,9,11,56%,74.2%
93030,Oxnard,9,6,56%,74.2%
93308,Oildale,15,13,43%,74.2%
93633,Unincorporated Fresno County area,8,0,27%,74.3%
92347,Unincorporated San Bernardino County area,7,27,38%,74.5%
91739,Rancho Cucamonga,13,3,13%,74.5%
95315,Delhi,12,2,52%,74.5%
93637,Madera,12,6,45%,74.6%
90001,Florence-Graham and Los Angeles,12,45,93%,74.7%
91001,Altadena,11,2,69%,74.8%
90022,East Los Angeles,12,4,91%,74.8%
91701,Rancho Cucamonga,13,5,20%,74.8%
91737,Rancho Cucamonga,13,0,13%,74.8%
93221,Exeter,13,1,51%,74.9%
93561,Bear Valley Springs and Tehachapi,7,1,27%,75.0%
95698,Unincorporated Yolo County area,8,3,47%,75.2%
90063,East Los Angeles,12,8,88%,75.4%
90210,Beverly Hills,12,8,45%,75.4%
92508,Riverside,12,10,20%,75.4%
96103,Graeagle,7,0,12%,75.5%
93312,Bakersfield,15,1,15%,75.5%
92832,Fullerton,12,11,70%,75.7%
91007,Arcadia,12,3,51%,76.0%
91202,Glendale,12,29,55%,76.1%
91203,Glendale,12,37,49%,76.1%
91204,Glendale,12,47,62%,76.1%
91207,Glendale,12,0,47%,76.1%
92882,Corona,12,3,32%,76.1%
95369,Unincorporated Merced County area,11,3,41%,76.2%
93648,Unincorporated Fresno County area,13,9,46%,76.2%
95728,Unincorporated Nevada County area,6,3,28%,76.3%
93243,Unincorporated Ventura County area,6,20,32%,76.5%
92404,San Bernardino,11,7,72%,76.6%
90035,Los Angeles,12,1,57%,76.6%
90601,Whittier,12,8,55%,76.6%
93614,Coarsegold and Yosemite Lakes,10,0,17%,76.7%
92337,Fontana,13,8,25%,77.0%
95621,Citrus Heights,9,0,37%,77.0%
92504,Riverside,13,7,63%,77.1%
92501,Riverside,12,27,71%,77.2%
91106,Pasadena,11,10,50%,77.2%
92831,Fullerton,12,27,54%,77.3%
92506,Riverside,12,1,36%,77.3%
92521,Riverside,12,6,44%,77.4%
91730,Rancho Cucamonga,14,11,32%,77.4%
90033,Los Angeles,13,17,88%,77.5%
91105,Pasadena,11,27,42%,77.5%
91307,Los Angeles,11,0,39%,77.6%
90039,Los Angeles,12,53,64%,77.7%
92503,Riverside,13,4,52%,77.7%
93926,Gonzales,5,7,72%,77.8%
90058,Los Angeles,12,51,93%,77.8%
93653,Unincorporated Madera County area,11,0,11%,77.8%
93225,Frazier Park,6,6,38%,77.9%
93313,Bakersfield,16,10,24%,77.9%
91724,Covina,12,1,50%,77.9%
92507,Riverside,12,12,56%,78.2%
90248,Los Angeles,12,22,68%,78.3%
91763,Montclair,13,9,56%,78.3%
95209,Stockton,11,0,35%,78.4%
93257,Porterville,13,7,57%,78.4%
93608,Unincorporated Fresno County area,10,8,63%,78.4%
92354,Loma Linda,12,9,59%,78.5%
95720,Unincorporated El Dorado County area,5,0,,78.5%
91206,Glendale,12,11,51%,78.6%
91906,Unincorporated San Diego County area,7,26,48%,78.6%
93306,"East Niles, Hillcrest and Bakersfield",15,0,56%,78.7%
90061,West Rancho Dominguez and Los Angeles,12,8,87%,78.8%
90059,Los Angeles and Willowbrook,12,14,82%,78.9%
91304,Los Angeles,11,3,47%,78.9%
93292,Visalia,14,19,43%,79.0%
91770,Rosemead,12,16,71%,79.1%
95670,Rancho Cordova,9,20,41%,79.2%
91790,West Covina,12,9,71%,79.4%
91775,East San Gabriel,12,6,62%,79.5%
90044,Los Angeles and Westmont,12,5,87%,79.6%
91311,Los Angeles,11,13,35%,79.6%
93314,Rosedale and Bakersfield,15,1,11%,79.8%
92509,Jurupa Valley,13,13,54%,79.9%
92879,Corona,13,4,39%,80.0%
95215,Garden Acres,11,13,61%,80.0%
91784,Upland,13,1,17%,80.3%
92833,Fullerton,12,9,56%,80.5%
91205,Glendale,12,29,61%,80.6%
93636,Unincorporated Madera County area,13,6,28%,80.8%
95330,Lathrop,11,14,29%,80.8%
93646,Unincorporated Fresno and Tulare County area,12,2,71%,80.9%
93250,Unincorporated Kern County area,14,5,55%,80.9%
90047,Los Angeles and Westmont,12,7,82%,80.9%
91342,Los Angeles,11,3,56%,80.9%
92505,Riverside,13,3,54%,81.0%
91042,Los Angeles,11,0,54%,81.2%
91364,Los Angeles,11,0,41%,81.4%
95360,Newman,10,12,63%,81.5%
91367,Los Angeles,11,0,40%,81.7%
91436,Los Angeles,12,4,47%,81.8%
93307,Bakersfield,16,11,66%,81.8%
91752,Jurupa Valley,13,3,43%,81.9%
93274,Tulare,14,1,51%,82.1%
92880,Eastvale and Corona,13,5,27%,82.3%
91604,Los Angeles,11,2,35%,82.4%
93657,Unincorporated Fresno County area,13,5,41%,82.5%
91792,West Covina,12,4,38%,82.6%
91331,Los Angeles,11,37,79%,82.8%
91040,Los Angeles,11,1,57%,83.1%
91303,Los Angeles,12,1,50%,83.1%
91306,Los Angeles,12,3,59%,83.1%
91316,Los Angeles,13,0,46%,83.1%
91324,Los Angeles,12,7,51%,83.1%
91325,Los Angeles,12,12,47%,83.1%
91326,Los Angeles,11,0,26%,83.1%
91330,Los Angeles,12,1,,83.1%
91345,Los Angeles,11,0,57%,83.1%
91356,Los Angeles,12,6,45%,83.1%
91371,Los Angeles,12,4,4%,83.1%
91401,Los Angeles,12,29,60%,83.1%
91403,Los Angeles,12,0,43%,83.1%
91405,Los Angeles,12,35,63%,83.1%
91411,Los Angeles,12,13,55%,83.1%
91423,Los Angeles,12,0,43%,83.1%
91601,Los Angeles,12,31,55%,83.1%
91602,Los Angeles,12,7,39%,83.1%
91607,Los Angeles,12,3,51%,83.1%
91605,Los Angeles,12,39,68%,83.1%
91335,Los Angeles,14,3,64%,83.1%
91343,Los Angeles,12,25,61%,83.1%
91406,Los Angeles,13,14,68%,83.1%
91402,Los Angeles,12,38,63%,83.1%
91201,Glendale,12,33,63%,83.2%
90031,Los Angeles,13,26,78%,83.2%
90077,Los Angeles,11,0,42%,83.2%
95242,Lodi,10,0,32%,83.3%
93280,Wasco,14,8,63%,83.4%
91606,Los Angeles,12,38,68%,83.4%
91352,Los Angeles,11,37,69%,83.5%
91344,Los Angeles,11,2,50%,83.6%
91744,La Puente and South San Jose Hills,12,10,77%,84.3%
93701,Fresno,14,0,73%,84.4%
93702,Fresno,14,2,83%,84.4%
93703,Fresno,14,2,81%,84.4%
93705,Fresno,14,0,72%,84.4%
93721,Fresno,14,6,70%,84.4%
93726,Fresno,14,2,68%,84.4%
95220,Collierville,10,2,42%,84.5%
95946,Unincorporated Nevada County area,7,9,18%,84.6%
92823,Unincorporated Orange County area,12,7,13%,84.8%
91107,Pasadena,11,8,59%,85.0%
93463,Unincorporated Santa Barbara County area,7,0,34%,85.0%
93630,Kerman,12,1,51%,85.1%
91706,Baldwin Park,12,13,69%,85.2%
92346,Highland and San Bernardino,11,3,34%,85.2%
93518,Unincorporated Kern County area,7,4,30%,85.4%
91754,Monterey Park,12,1,61%,85.6%
93722,Fresno,13,0,30%,85.8%
95012,Prunedale,5,4,49%,85.8%
91755,Monterey Park,12,4,53%,85.9%
90023,Los Angeles,12,27,88%,86.1%
95304,Unincorporated San Joaquin County area,10,14,27%,86.1%
93644,Oakhurst,7,2,37%,86.2%
90002,Florence-Graham and Los Angeles,12,27,86%,86.2%
93720,Fresno,13,0,12%,86.4%
90069,West Hollywood and Los Angeles,12,4,38%,86.7%
90631,La Habra,12,2,66%,86.7%
92821,Brea,12,9,42%,86.7%
90043,Los Angeles,12,2,76%,87.0%
92309,Unincorporated San Bernardino County area,7,42,41%,87.0%
91214,La Crescenta-Montrose,11,0,54%,87.1%
91108,San Marino,11,12,60%,87.3%
